,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
148,Deepspeech,0.0,0.211566916368,0.293491672387,148,FlexiBO+RF-Ratio,0.00893031951654,187.2,148.0,0.358523533358
149,Deepspeech,0.0,0.158251339201,0.281242798204,149,FlexiBO+RF-Ratio,0.0116646250888,187.2,149.0,0.358523533358
150,Deepspeech,0.0,0.236394846121,0.338836335263,150,FlexiBO+RF-Ratio,0.0303887695307,187.2,150.0,0.358494842982
151,Deepspeech,0.0,0.220900545366,0.340785629919,151,FlexiBO+RF-Ratio,0.0430972404173,187.2,151.0,0.358494842982
152,Deepspeech,0.0,0.239828129868,0.402039270263,152,FlexiBO+RF-Ratio,0.00225407413509,187.2,152.0,0.358494842982
153,Deepspeech,0.0,0.201742532775,0.3171037342,153,FlexiBO+RF-Ratio,0.0206425125788,187.2,153.0,0.358494842982
154,Deepspeech,0.0,0.316510387021,0.277034204893,154,FlexiBO+RF-Ratio,0.0269384411758,187.2,154.0,0.358494842982
155,Deepspeech,0.0,0.200039030506,0.404878945485,155,FlexiBO+RF-Ratio,0.0207234897707,187.2,155.0,0.358494842982
156,Deepspeech,5.2,0.220793781652,0.338852970663,156,FlexiBO+RF-Ratio,0.022300512527,192.4,156.0,0.358494842982
157,Deepspeech,0.0,0.339542219001,0.296518204613,157,FlexiBO+RF-Ratio,0.0195084699009,192.4,157.0,0.358494842982
158,Deepspeech,0.0,0.194054609557,0.388569021422,158,FlexiBO+RF-Ratio,0.0174027604914,192.4,158.0,0.358494842982
159,Deepspeech,0.0,0.302465279659,0.386081611013,159,FlexiBO+RF-Ratio,0.048594976184,192.4,159.0,0.358494842982
160,Deepspeech,0.0,0.197271424525,0.331371743875,160,FlexiBO+RF-Ratio,0.0286880624475,192.4,160.0,0.358494842982
161,Deepspeech,0.0,0.208465525008,0.313306103975,161,FlexiBO+RF-Ratio,0.0218431818057,192.4,161.0,0.358494842982
162,Deepspeech,0.0,0.206219854933,0.344320355269,162,FlexiBO+RF-Ratio,0.0411989820312,192.4,162.0,0.358494842982
163,Deepspeech,5.2,0.266799293873,0.392744748414,163,FlexiBO+RF-Ratio,0.0297257265368,197.6,163.0,0.358494842982
164,Deepspeech,5.2,0.199494334578,0.343296549441,164,FlexiBO+RF-Ratio,0.0422778509915,202.8,164.0,0.358494842982
165,Deepspeech,0.0,0.267869352014,0.413176567288,165,FlexiBO+RF-Ratio,0.00385532197622,202.8,165.0,0.358494842982
166,Deepspeech,5.2,0.367759645449,0.320153493939,166,FlexiBO+RF-Ratio,0.0128208632999,208.0,166.0,0.358494842982
167,Deepspeech,0.0,0.200729198301,0.284477463288,167,FlexiBO+RF-Ratio,0.038753620916,208.0,167.0,0.358494842982
168,Deepspeech,0.0,0.271817647981,0.297827467214,168,FlexiBO+RF-Ratio,0.0357668553281,208.0,168.0,0.358494842982
169,Deepspeech,0.0,0.203140952524,0.448387183599,169,FlexiBO+RF-Ratio,0.0300385653633,208.0,169.0,0.358494842982
170,Deepspeech,5.2,0.276129216976,0.303440869995,170,FlexiBO+RF-Ratio,0.0384249256873,213.2,170.0,0.358494842982
171,Deepspeech,0.0,0.328240426857,0.307523936422,171,FlexiBO+RF-Ratio,0.00340970628568,213.2,171.0,0.358494842982
172,Deepspeech,0.0,0.215457921389,0.344732073276,172,FlexiBO+RF-Ratio,0.0471972376193,213.2,172.0,0.358494842982
173,Deepspeech,0.0,0.264861230469,0.297057328899,173,FlexiBO+RF-Ratio,0.01417791532,213.2,173.0,0.358494842982
174,Deepspeech,0.0,0.209660967893,0.287443969391,174,FlexiBO+RF-Ratio,0.020797845614,213.2,174.0,0.358494842982
175,Deepspeech,0.0,0.227623140232,0.316310713893,175,FlexiBO+RF-Ratio,0.0446189824993,213.2,175.0,0.358494842982
176,Deepspeech,0.0,0.199241970282,0.298719106343,176,FlexiBO+RF-Ratio,0.0478539049047,213.2,176.0,0.358494842982
177,Deepspeech,5.2,0.321241389927,0.370990421422,177,FlexiBO+RF-Ratio,0.0214574388953,218.4,177.0,0.358494842982
178,Deepspeech,0.0,0.236446548346,0.314245190429,178,FlexiBO+RF-Ratio,0.0313115266937,218.4,178.0,0.358494842982
179,Deepspeech,0.0,0.214623008467,0.313194094751,179,FlexiBO+RF-Ratio,0.0176541292114,218.4,179.0,0.358494842982
180,Deepspeech,5.2,0.225893039892,0.317395335699,180,FlexiBO+RF-Ratio,0.0212714808585,223.6,180.0,0.358494842982
181,Deepspeech,5.2,0.201718198272,0.356954373507,181,FlexiBO+RF-Ratio,0.0429217880287,228.8,181.0,0.358494842982
182,Deepspeech,0.0,0.224686604792,0.304385653869,182,FlexiBO+RF-Ratio,0.0233429183503,228.8,182.0,0.358494842982
183,Deepspeech,5.2,0.248065357095,0.319194988535,183,FlexiBO+RF-Ratio,0.0372731807329,234.0,183.0,0.358494842982
184,Deepspeech,0.0,0.300573322472,0.310617100874,184,FlexiBO+RF-Ratio,0.0208501161059,234.0,184.0,0.358494842982
185,Deepspeech,0.0,0.314332659954,0.301991850976,185,FlexiBO+RF-Ratio,0.045086821303,234.0,185.0,0.358494842982
186,Deepspeech,0.0,0.232122037134,0.324848539487,186,FlexiBO+RF-Ratio,0.0366254209466,234.0,186.0,0.358494842982
187,Deepspeech,0.0,0.229804214947,0.393951421809,187,FlexiBO+RF-Ratio,0.0377745720662,234.0,187.0,0.358494842982
188,Deepspeech,0.0,0.21130538235,0.395677879307,188,FlexiBO+RF-Ratio,0.0355998778357,234.0,188.0,0.358494842982
189,Deepspeech,0.0,0.211194606152,0.274132818097,189,FlexiBO+RF-Ratio,0.0312648031098,234.0,189.0,0.358494842982
